"Survey Start Time","Survey End Time","Created Date","Created By: Full Name","BM Cycle Name","Business Group ID","Business Group Name","Biz Expenses Business Exit","Biz Revenue Business Exit","Biz Inventory Business Exit","Biz Cash Business Exit","Biz Input Business Exit","PR Business Type","SB Planned Biz Type","SB Planned Biz Type NOT Started","SB Planned Biz Type Started?","Why deviated from SB plan?","Biz type group currently operating","Additional Biz Types Detail","# Of BOs dropped Business Exit","BOs dropped Business Exit","Group Size at PR","PR Grant Value Business Exit","PR Grant Used Business Exit","Business Participation Status","Reason unable to view records","Visit Number","Records Kept?","Records Up To Date?","Data Collection Method","Why Survey Not Completed","Why Survey Not Conducted Detail","Business Health 3"
"23/08/2024, 11:33","23/08/2024, 11:37","23/08/2024","Amina Drateru","FY24C1 Albert Atama","088286","Peace","1228500","2114500","274000","230000","880000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 11:05","22/08/2024, 11:09","22/08/2024","Amina Drateru","FY24C1 Albert Atama","089066","Joyful","677100","1482900","204000","502000","1950000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 11:27","22/08/2024, 17:59","22/08/2024","Amina Drateru","FY24C1 Albert Atama","089067","Morijita","841000","2146000","250000","600000","607000","Crops; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 12:11","23/08/2024, 12:16","23/08/2024","Amina Drateru","FY24C1 Albert Atama","089068","Asanty","1924500","2986000","2220000","206000","589000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"23/08/2024, 11:50","23/08/2024, 11:55","23/08/2024","Amina Drateru","FY24C1 Albert Atama","089069","Ateki Luak","540000","1716000","390000","551000","810000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"23/08/2024, 13:59","23/08/2024, 14:06","23/08/2024","Amina Drateru","FY24C1 Albert Atama","089070","Alafi","1610000","3116000","352000","800000","2565000","Crops","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 13:41","23/08/2024, 13:46","23/08/2024","Amina Drateru","FY24C1 Albert Atama","089071","God Bless","1100000","1486000","0","0","2565000","Crops","Livestock;Retail","","","","Crops","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"26/08/2024, 13:30","26/08/2024, 13:35","27/08/2024","Amina Drateru","FY24C1 Albert Atama","089072","Nyolanita","785000","1364000","922000","130000","575000","Crops; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 09:43","22/08/2024, 09:48","22/08/2024","Amina Drateru","FY24C1 Albert Atama","089073","Rubanga Twero","781000","1311000","250000","340000","1242000","Crops; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 11:45","22/08/2024, 11:52","22/08/2024","Amina Drateru","FY24C1 Albert Atama","089074","Harmony","958000","1484000","105000","550000","1401000","Crops","Livestock;Retail","","","","Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 13:54","22/08/2024, 14:08","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088670","Asante","491500","9182500","615200","380000","607000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 18:10","19/08/2024, 18:18","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088651","Ama Nda Nyazu","765000","12000000","1100000","750000","1740000","Livestock; Retail","Livestock;Retail","","","","Crops; Livestock; Retail; Service","","","No","2","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 17:56","19/08/2024, 18:01","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088652","Embaasi","1110200","8506000","174000","2700000","710000","Livestock","Livestock;Retail","","","","Crops; Retail","","","No","2","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 18:01","19/08/2024, 18:10","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088653","Onyaruku","1232500","9391000","610000","1250000","341000","Livestock; Retail","Livestock;Retail","","","","Crops; Retail; Skilled","","","No","2","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 16:27","19/08/2024, 16:35","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088654","Asianzu","662100","6781500","500000","700000","543000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 15:03","22/08/2024, 15:12","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088655","Awadifo","685000","34445000","683000","1400000","537000","Livestock; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 17:47","19/08/2024, 17:55","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088656","Panya Africa","2045000","11145000","755000","1750000","1265000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 11:08","22/08/2024, 11:21","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088657","Ijokici","674000","12235000","1200000","300000","460000","Livestock; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 16:12","22/08/2024, 16:31","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088658","Amaecora","645500","20363000","1702000","1478000","590100","Livestock; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 17:33","19/08/2024, 17:41","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088659","Happy","1240000","8428000","320000","400000","437600","Livestock; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 17:16","19/08/2024, 17:25","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088660","Ichikiru","2430000","15212400","880000","400000","572000","Crops","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","2","240000","200000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 11:36","22/08/2024, 11:51","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088662","Gift","1787200","45424600","1425000","1020000","715500","Livestock; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 16:41","22/08/2024, 16:57","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088664","Alionzi","390000","5396000","700000","920000","379000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 12:07","22/08/2024, 13:42","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088665","Icokiru","412500","10184000","510000","320000","403000","Livestock; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 16:58","19/08/2024, 17:05","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088667","Ocema Ceni","659100","9723600","850000","300000","762000","Livestock; Retail","Livestock;Service","","","","Crops; Livestock; Retail; Service","","","No","2","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 17:30","19/08/2024, 17:33","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088671","Lucky","1460000","13401000","250000","783000","579000","Crops","Livestock;Retail","","","","Service","","","No","2","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 15:12","22/08/2024, 15:36","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088673","Ama Obi Dri Raka","421000","27983600","880000","1300000","591000","Livestock; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"19/08/2024, 16:36","19/08/2024, 16:49","19/08/2024","Nadia Manzubo","FY24C1 Annet Eyotaru","088675","Likicho","1024600","16003000","350000","720000","575000","Livestock; Retail","Livestock;Retail","","","","Crops; Retail","","","No","2","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 16:57","22/08/2024, 17:20","22/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","088676","Hope","396000","10738500","1432000","2200000","654500","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 08:22","23/08/2024, 08:36","23/08/2024","Esther Angunduru","FY24C1 Annet Eyotaru","089000","Success","592000","24585000","1382000","950000","723000","Livestock; Retail","Livestock;Service","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"28/08/2024, 13:20","28/08/2024, 13:39","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089001","Joy Business Group","1280000","5762000","950000","900000","571000","Retail","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 09:12","29/08/2024, 09:30","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089002","Asante Business Group","230000","2275000","150000","115000","425000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 13:56","28/08/2024, 14:13","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089003","Iyete Business","99000","2533000","100000","400000","298000","Crops; Retail","Livestock;Retail;Service","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 14:17","28/08/2024, 14:34","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089004","Morijita Business Group","194500","2571000","420000","347000","426000","Crops; Retail","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"29/08/2024, 10:16","29/08/2024, 10:36","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089005","Hope Business Group","311500","1418100","0","0","311500","Crops; Retail","Livestock;Retail","","","","Crops","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 15:33","28/08/2024, 15:49","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089006","Happy Business Group","330000","1325300","150000","200000","455000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"28/08/2024, 15:09","28/08/2024, 15:33","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089007","Unity Business Group","439000","5807100","223000","400000","519000","Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"28/08/2024, 14:40","28/08/2024, 14:55","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089008","Blessing Business Group","300000","1800500","0","300000","432500","Crops; Retail","Livestock;Skilled","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 09:52","29/08/2024, 10:02","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089009","Wuti Ta Ngero","650000","1212000","60000","75000","252000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 13:15","28/08/2024, 13:19","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089010","Munguchi Business Group","115000","944500","60000","450000","358500","Crops; Retail","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 08:49","29/08/2024, 09:08","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089011","Peace Business Group","85000","3265100","50000","20000","580000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"28/08/2024, 16:43","28/08/2024, 16:59","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089012","Faith Business Group","305000","2536000","309000","250000","383000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"23/08/2024, 10:35","23/08/2024, 11:00","23/08/2024","Justine Ndugu","FY24C1 Charles Baker","089013","Mungu Feni","195000","1005000","200000","260000","275000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 12:28","29/08/2024, 20:05","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089013","Mungu Feni","195000","1005000","200000","260000","275000","Crops; Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 16:30","28/08/2024, 16:41","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089014","Holy Business Group","351000","1027500","200000","200000","461000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 09:31","29/08/2024, 09:49","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089015","Mercy Business Group","285000","1495000","48000","80000","293000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 15:50","28/08/2024, 16:04","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089016","Tiyu Ku Yupet","212000","1624000","10000","0","200000","Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 12:15","29/08/2024, 12:25","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089017","Yiniki Mugun","250000","870000","130000","120000","345000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"28/08/2024, 13:44","28/08/2024, 13:53","28/08/2024","Justine Ndugu","FY24C1 Charles Baker","089018","Moriyo Business Group","387000","770000","130000","70000","395000","Crops; Retail","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"29/08/2024, 10:38","29/08/2024, 10:50","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089211","United Business","600000","1978000","150000","300000","465000","Crops; Retail","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"29/08/2024, 12:03","29/08/2024, 12:14","29/08/2024","Justine Ndugu","FY24C1 Charles Baker","089212","Salaam Business Group","185000","1500000","300000","80000","355000","Crops; Skilled","Livestock;Skilled","","","","Livestock; Retail; Skilled","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"20/08/2024, 17:58","20/08/2024, 18:06","20/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089431","Kingdom","496000","4929000","157000","700000","829000","Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","140000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"20/08/2024, 17:12","20/08/2024, 17:24","20/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089436","Angles","194000","3291500","14000","200000","1041000","Livestock","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","150000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"20/08/2024, 16:58","20/08/2024, 17:09","20/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089426","Important","250000","3202900","142000","200000","653000","Livestock","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","90000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Red"
"22/08/2024, 15:30","22/08/2024, 15:49","22/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089427","Happy","487000","4538600","0","500000","446000","Crops","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"20/08/2024, 13:30","20/08/2024, 13:44","20/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089428","Athiei","695000","6856000","164000","4000000","602000","Livestock","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","190000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 16:37","23/08/2024, 16:47","23/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089429","Blessing","385000","1408500","0","500000","815000","Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 13:01","22/08/2024, 13:18","22/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089430","Peace And Cooperation","295000","3450600","0","350000","660000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 13:36","22/08/2024, 13:47","22/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089432","Peace Team","260000","4442000","0","150000","545000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 16:51","23/08/2024, 17:08","23/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089433","Good News","284000","620000","0","450000","625000","Livestock","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 16:24","22/08/2024, 16:36","22/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089434","Alafi","560000","3450600","462000","350000","387000","Livestock","Livestock;Retail","","","","Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"20/08/2024, 15:21","20/08/2024, 15:28","20/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089435","Cooperation","208000","1526500","0","350000","500000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","150000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"20/08/2024, 14:00","20/08/2024, 14:23","20/08/2024","Caroline Dawa Godfrey","FY24C1 Edward Amono","089437","Unity","228000","3743900","100000","500000","480000","Retail","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","190000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
